eigenvalue_index,value
0,-2.865091488305901
1,-2.6912839664291806
2,-2.6481846071775283
3,-2.6481846071775275
4,-2.369409650580334
5,-2.3694096505803275
6,-2.1872797373006136
7,-2.058524750881731
8,-2.0000000000000027
9,-1.999999999999999
10,-1.7559753991552154
11,-1.7559753991552145
12,-1.7320508075688792
13,-1.732050807568877
14,-1.675130870566645
15,-1.4670519722021291
16,-1.4670519722021287
17,-1.4288015565449868
18,-1.1700864866260345
19,-1.170086486626034
20,-1.1700864866260332
21,-0.846335098022907
22,-0.5391888728108886
23,-0.3298312766827216
24,-0.275271451488619
25,-0.27527145148861853
26,-3.2207799985967216e-15
27,-1.4100751762349309e-15
28,0.21522192293118658
29,0.21522192293118908
30,0.24369007233597315
31,0.5334156956277929
32,0.6888921825340127
33,0.6888921825340171
34,0.6888921825340207
35,0.9999999999999983
36,0.9999999999999994
37,1.0000000000000004
38,1.0000000000000018
39,1.000000000000002
40,1.382945868075262
41,1.3829458680752647
42,1.5681941305866387
43,1.7320508075688765
44,1.7320508075688774
45,1.9608596819756197
46,2.214319743377536
47,2.385787449450661
48,2.3857874494506617
49,2.4811943040920132
50,2.481194304092018
51,2.4811943040920186
52,2.520349047441106
53,2.531937840146709
54,2.531937840146711
55,2.5806392462009087
